 X	PSI		Ne	Te	Zeff	SigmaH	 Stotal		NSL		Power	LinIonDens
 26.8612	0.407654		1.023e+020	10.9458	1.67757		6.78663e-017	6.79245e-021		0.784262	0.456457	0.317177
 26.8712	0.403049		1.023e+020	11.0143	1.67781		6.7826e-017	6.78845e-021		0.791206	0.453298	0.314796
 26.8812	0.398448		1.023e+020	11.0928	1.678		6.77801e-017	6.7839e-021		0.798146	0.450163	0.31241
 26.8912	0.393852		1.023e+020	11.2155	1.678		6.7709e-017	6.77686e-021		0.805079	0.447053	0.30993
 26.9012	0.38926		1.023e+020	11.3382	1.678		6.76389e-017	6.76992e-021		0.812005	0.443967	0.307475
 26.9112	0.384673		1.023e+020	11.4605	1.678		6.75698e-017	6.76307e-021		0.818923	0.440906	0.305046
 26.9212	0.380091		1.023e+020	11.5527	1.67848		6.75182e-017	6.75797e-021		0.825837	0.437869	0.302716
 26.9312	0.375611		1.023e+020	11.6427	1.67894		6.74683e-017	6.75303e-021		0.832745	0.434854	0.300412
 26.9412	0.371223		1.023e+020	11.7309	1.67939		6.74198e-017	6.74822e-021		0.839648	0.431862	0.298133
 26.9512	0.366838		1.023e+020	11.8191	1.67984		6.73718e-017	6.74347e-021		0.846547	0.428893	0.295875
 26.9612	0.362459		1.023e+020	11.9254	1.68		6.73144e-017	6.73778e-021		0.85344	0.425947	0.293595
 26.9712	0.358084		1.023e+020	12.0415	1.68		6.72524e-017	6.73164e-021		0.860326	0.423024	0.291314
 26.9812	0.353713		1.023e+020	12.1574	1.68		6.71911e-017	6.72557e-021		0.867206	0.420124	0.289056
 26.9912	0.349347		1.023e+020	12.2652	1.68006		6.71347e-017	6.71999e-021		0.874081	0.417245	0.286837
 27.0012	0.344986		1.023e+020	12.3529	1.68029		6.70892e-017	6.71549e-021		0.880951	0.414389	0.284683
 27.0112	0.340816		1.023e+020	12.4367	1.6805		6.7046e-017	6.71122e-021		0.887816	0.411553	0.282555
 27.0212	0.336665		1.023e+020	12.5201	1.68072		6.70034e-017	6.707e-021		0.894678	0.408739	0.280447
 27.0312	0.332519		1.023e+020	12.6035	1.68093		6.69611e-017	6.70281e-021		0.901535	0.405946	0.278356
 27.0412	0.328378		1.023e+020	12.7054	1.68119		6.69099e-017	6.69774e-021		0.908387	0.403174	0.276247
 27.0512	0.324241		1.023e+020	12.8159	1.68148		6.68548e-017	6.69229e-021		0.915233	0.400423	0.274138
 27.0612	0.320108		1.023e+020	12.9263	1.68176		6.68003e-017	6.6869e-021		0.922073	0.397694	0.27205
 27.0712	0.31598		1.023e+020	13.0321	1.682		6.67486e-017	6.68178e-021		0.928909	0.394984	0.26999
 27.0812	0.311912		1.023e+020	13.1114	1.682		6.67101e-017	6.67798e-021		0.93574	0.392295	0.267999
 27.0912	0.30801		1.023e+020	13.1874	1.682		6.66734e-017	6.67435e-021		0.942568	0.389626	0.266031
 27.1012	0.304113		1.023e+020	13.2633	1.682		6.66371e-017	6.67076e-021		0.949393	0.386976	0.26408
 27.1112	0.30022		1.023e+020	13.3392	1.682		6.6601e-017	6.66719e-021		0.956213	0.384346	0.262144
 27.1212	0.296331		1.023e+020	13.4258	1.68211		6.656e-017	6.66314e-021		0.963029	0.381735	0.260205
 27.1312	0.292447		1.023e+020	13.5562	1.68264		6.6499e-017	6.6571e-021		0.96984	0.379144	0.258205
 27.1412	0.288567		1.023e+020	13.6864	1.68317		6.64386e-017	6.65113e-021		0.976644	0.376573	0.256224
 27.1512	0.284691		1.023e+020	13.8165	1.6837		6.6379e-017	6.64523e-021		0.983442	0.374022	0.254263
 27.1612	0.280942		1.023e+020	13.9316	1.684		6.63267e-017	6.64006e-021		0.990235	0.37149	0.252345
 27.1712	0.277308		1.023e+020	14.0287	1.684		6.6283e-017	6.63574e-021		0.997023	0.368976	0.250475
 27.1812	0.273679		1.023e+020	14.1256	1.684		6.62397e-017	6.63146e-021		1.00381	0.366482	0.248621
 27.1912	0.270053		1.023e+020	14.2225	1.684		6.61968e-017	6.62722e-021		1.01059	0.364005	0.246783
 27.2012	0.266432		1.023e+020	14.3161	1.68408		6.61555e-017	6.62315e-021		1.01736	0.361547	0.244966
 27.2112	0.262815		1.023e+020	14.4052	1.68426		6.61166e-017	6.6193e-021		1.02413	0.359107	0.243171
 27.2212	0.259202		1.023e+020	14.4941	1.68445		6.60781e-017	6.61549e-021		1.0309	0.356685	0.241392
 27.2312	0.255594		1.023e+020	14.5829	1.68463		6.60398e-017	6.6117e-021		1.03767	0.354281	0.239628
 27.2412	0.252167		1.023e+020	14.6673	1.68481		6.60037e-017	6.60814e-021		1.04443	0.351894	0.237885
 27.2512	0.248813		1.023e+020	14.7498	1.68498		6.59685e-017	6.60467e-021		1.05118	0.349524	0.236159
 27.2612	0.245464		1.023e+020	14.8384	1.6852		6.59311e-017	6.60097e-021		1.05793	0.347172	0.234438
 27.2712	0.242118		1.023e+020	14.9278	1.68543		6.58936e-017	6.59726e-021		1.06468	0.344837	0.23273
 27.2812	0.238776		1.023e+020	15.0171	1.68566		6.58563e-017	6.59358e-021		1.07143	0.342519	0.231037
 27.2912	0.235439		1.023e+020	15.1062	1.68589		6.58194e-017	6.58993e-021		1.07817	0.340217	0.229358
 27.3012	0.232105		1.023e+020	15.2069	1.68612		6.5778e-017	6.58584e-021		1.08491	0.337933	0.227676
 27.3112	0.228775		1.023e+020	15.3187	1.68634		6.57324e-017	6.58133e-021		1.09164	0.335665	0.225994
 27.3212	0.225668		1.023e+020	15.4229	1.68656		6.56901e-017	6.57716e-021		1.09837	0.333415	0.224336
 27.3312	0.222604		1.023e+020	15.5258	1.68677		6.56488e-017	6.57308e-021		1.10509	0.33118	0.222694
 27.3412	0.219544		1.023e+020	15.6285	1.68698		6.56078e-017	6.56903e-021		1.11181	0.328962	0.221066
 27.3512	0.216487		1.023e+020	15.7125	1.68719		6.55745e-017	6.56574e-021		1.11853	0.32676	0.219477
 27.3612	0.213434		1.023e+020	15.794	1.68739		6.55424e-017	6.56257e-021		1.12524	0.324573	0.217903
 27.3712	0.210385		1.023e+020	15.8755	1.6876		6.55105e-017	6.55942e-021		1.13195	0.322403	0.216341
 27.3812	0.20734		1.023e+020	15.9568	1.68781		6.54788e-017	6.55629e-021		1.13866	0.320248	0.214793
